Name,Period,phi31_V,[Fe/H]_V
346213160500048000,0.7789927,4.70622,-3.51
2499726736422924800,0.7590442,4.6712,-3.41
3793584122514601472,0.6761989,4.23328,-3.4
3860665807961435264,0.6747921,4.41872,-3.13
1232643626698893696,0.7527029,4.87927,-3.06
1576712288551499520,0.6597815,4.41211,-3.02
762879723272830464,0.6279059,4.25988,-3
748047070895917184,0.6099311,4.20336,-2.94
2875539776437822592,0.7067601,4.71663,-2.94
841503875630530560,0.6864173,4.62347,-2.92
1027210251394566784,0.651638,4.439,-2.92
4427368119691022720,0.6394306,4.37805,-2.92
687985320516473472,0.6479151,4.42864,-2.91
847844346871485312,0.7160086,4.80097,-2.9
882365507289824768,0.5725894,4.04167,-2.89
864342278327329152,0.5175434,3.76267,-2.86
1467469589218960384,0.5707357,4.05616,-2.85
2798293518308402176,0.7769426,5.17064,-2.83
224547422885044352,0.5713311,4.08329,-2.82
1244692831030704128,0.6141948,4.31238,-2.82
1575195099943294976,0.690538,4.72452,-2.81
2530880157150295808,0.6034498,4.25632,-2.81
726236535476852480,0.5495917,4.00236,-2.77
685465033707458176,0.5892297,4.21828,-2.76
4870497075488741888,0.7022138,4.82654,-2.75
1153436698819701504,0.7567639,5.12738,-2.74
3725869187089445504,0.7343039,5.02315,-2.72
3695069358135366144,0.8011478,5.38719,-2.71
831256908298716800,0.5338462,3.96995,-2.69
1383232533081677056,0.6895425,4.82671,-2.66
3465394126556301056,0.7133255,4.95349,-2.66
1325749962102186880,0.5124746,3.89559,-2.64
3938682995540541440,0.6471801,4.61248,-2.64
2850150816001358976,0.629638,4.52431,-2.63
4016277867574742656,0.5198085,3.93869,-2.63
3955761915813116800,0.6196994,4.4827,-2.62
5271549714159069568,0.8940337,5.94458,-2.62
2538878795004566656,0.5120786,3.91074,-2.61
3704536703005861504,0.5638849,4.18772,-2.61
5165689383172441216,0.7138585,4.98977,-2.61
699047743225863680,0.5720264,4.24804,-2.59
2727237648082657280,0.654492,4.68644,-2.59
775384125418301312,0.6858119,4.86182,-2.58
1276991637932304768,0.6433036,4.64708,-2.56
2503510327732736000,0.6453371,4.6588,-2.56
1181115701458117120,0.6517557,4.70023,-2.55
2852973361133806464,0.7947223,5.46428,-2.55
4426793212552412288,0.7060305,4.99322,-2.55
1308799238014230400,0.589278,4.37088,-2.54
2552333797966961664,0.6735575,4.82811,-2.53
1410366074873126016,0.6957165,4.95872,-2.52
1480652905435076480,0.7472107,5.23804,-2.51
2099623285533405952,0.6820212,4.88905,-2.51
1494896838054541312,0.6610616,4.7895,-2.49
1541375221784616960,0.7335264,5.19357,-2.47
3922877687689736576,0.6433789,4.71134,-2.47
4466932018392973184,0.6788699,4.89821,-2.47
3979435290216574464,0.6281664,4.64124,-2.46
1535258393785510400,0.5329419,4.13662,-2.45
2685653529909699456,0.6517869,4.76959,-2.45
2675001912231333632,0.67491,4.89934,-2.44
3197490902903526528,0.8259182,5.70855,-2.44
3844138632072505856,0.6587246,4.81587,-2.44
273264893325541120,0.6222129,4.6259,-2.43
1153973191774682624,0.6814232,4.9454,-2.43
1319786348472618880,0.6654058,4.85464,-2.43
1326263330953312640,0.7308907,5.2045,-2.43
1408109086739131264,0.6411653,4.72561,-2.43
3486473757325180032,0.6503014,4.77703,-2.43
3657243306280825984,0.6712646,4.88669,-2.43
3957094077229881472,0.6614238,4.8361,-2.43
369362136574999680,0.6954939,5.02799,-2.42
1266432409295131776,0.6617336,4.8486,-2.42
852322825233930112,0.6997871,5.05877,-2.41
3662743578839021824,0.7609628,5.39139,-2.4
3940126448149189248,0.6009802,4.53675,-2.4
854898847834477056,0.6636839,4.89221,-2.37
1467760341325305472,0.6318417,4.72292,-2.37
3932819261374395008,0.5653763,4.36789,-2.37
4415013732163213056,0.7428762,5.31095,-2.37
1396404270065043840,0.6440327,4.79319,-2.36
338409926477347456,0.6068418,4.59934,-2.35
1541258536115214464,0.6483123,4.82141,-2.35
6917208279484804096,0.6909775,5.05356,-2.35
178358107630431616,0.6325312,4.75216,-2.33
1244575492524016128,0.56709,4.40428,-2.33
1308069913910408704,0.6498127,4.84349,-2.33
3938020333627916928,0.6710585,4.95468,-2.33
323281780349038464,0.6219962,4.70346,-2.32
1571925942637170432,0.6190728,4.68955,-2.32
3267054907647771136,0.6728492,4.97824,-2.32
3834029481648387968,0.8339288,5.83441,-2.32
873626206619714560,0.6494444,4.85428,-2.31
1912453760434108928,0.630413,4.76108,-2.3
3950879774947992832,0.7336073,5.3115,-2.3
4466255853102378752,0.6782467,5.02072,-2.3
4501066631756648704,0.6114145,4.66036,-2.3
14233869512030080,0.6670034,4.96473,-2.29
1574640808643875200,0.5889541,4.54654,-2.29
1745975266063238912,0.670648,4.98503,-2.29
3291242857789707904,0.7642897,5.4809,-2.29
3657112189519325696,0.6526166,4.89003,-2.29
4031949339948687360,0.5919019,4.56109,-2.29
4456414880435961728,0.6328951,4.77983,-2.29
2364039098815563392,0.4623789,3.88225,-2.28
2776376712513580288,0.6913783,5.1011,-2.28
3120245675569582720,0.550134,4.35047,-2.28
114797397716085120,0.7693351,5.52813,-2.27
736787964453532288,0.8043403,5.71039,-2.27
2125430605844418304,0.586909,4.54847,-2.27
582943919537481344,0.5866359,4.5593,-2.26
1271689311831245568,0.6535233,4.9126,-2.26
3647966829756640384,0.68278,5.07011,-2.26
1351107483377452288,0.6959273,5.15025,-2.25
1445914591468786688,0.5549657,4.39473,-2.25
3662406853402985472,0.6261235,4.77788,-2.25
748729897681241856,0.6464106,4.88812,-2.24
1566907050012358272,0.7419756,5.39988,-2.24
1785517685627427328,0.562448,4.44405,-2.24
3738888366835050496,0.588472,4.57761,-2.24
918642072381771392,0.5561488,4.41401,-2.23
1258317631228962816,0.6009313,4.65242,-2.23
1334599720740513024,0.7274482,5.32714,-2.23
1462523539240966272,0.7038071,5.2055,-2.23
1022285989786150656,0.6921455,5.14841,-2.22
2958812526519964928,0.6498402,4.9242,-2.22
5032510629236996608,0.6247431,4.78742,-2.22
1239603363504114560,0.6171217,4.75117,-2.21
1498913766347349120,0.6884338,5.13208,-2.21
2383252342956243328,0.5820504,4.56725,-2.21
2547009241111707264,0.6803933,5.09583,-2.21
6836508627130440064,0.8000734,5.7309,-2.21
923270707098470272,0.6206499,4.78218,-2.2
1206247685411755648,0.6150769,4.75215,-2.2
3882560005048361088,0.6581783,4.98027,-2.2
786705418699669632,0.6811352,5.10992,-2.19
1285983512743696000,0.7045718,5.23384,-2.19
4009676296682624768,0.5706844,4.51757,-2.19
1441253349362043520,0.8254716,5.89109,-2.18
1477548743590481280,0.5718787,4.53351,-2.18
3785081118060878336,0.672851,5.07524,-2.18
4454183799545435008,0.7465916,5.4676,-2.18
6165638278845537792,0.8453123,5.99394,-2.18
663638971983488640,0.6290454,4.84823,-2.17
1207992850882594560,0.646491,4.93847,-2.17
1420394509976448000,0.5271448,4.3031,-2.17
1767153543637028864,0.6609462,5.01516,-2.17
2818675543310377856,0.7166176,5.31192,-2.17
2880358592304959872,0.8198858,5.86782,-2.17
1264746445652712320,0.5774987,4.57658,-2.16
3813895778771753472,0.5807442,4.59752,-2.16
1013918122184032000,0.5472684,4.42702,-2.15
1165508443140102784,0.5601447,4.4919,-2.15
1195499753091217664,0.644803,4.94183,-2.15
1398489837464855040,0.5081578,4.21272,-2.15
1420217733417559936,0.8447812,6.01309,-2.15
2653802189881669760,0.5327256,4.3451,-2.15
3962896573750515456,0.6040633,4.72765,-2.15
370067649378653440,0.7227658,5.36806,-2.14
1279487318872809216,0.5510519,4.45244,-2.14
2482520959996380288,0.5582627,4.48912,-2.14
2690410193305422592,0.5712797,4.55685,-2.14
1207907157695092224,0.5234626,4.30956,-2.13
1356025457153174656,0.6494549,4.98367,-2.13
1574545357290594432,0.6448328,4.96218,-2.13
2036756887155412096,0.8313663,5.95266,-2.13
3864542956543496704,0.4941339,4.15466,-2.13
1324822386605440128,0.636095,4.9218,-2.12
3362670191147451008,0.5878487,4.65973,-2.12
3464231977125588736,0.6641757,5.0678,-2.12
4353917066465121024,0.7553693,5.55626,-2.12
648057277307484160,0.6578429,5.04242,-2.11
2685237678291407872,0.6420056,4.95969,-2.11
2880246201601060224,0.6913266,5.22156,-2.11
3727833391597367424,0.6508165,5.00183,-2.11
219099823805100416,0.5892833,4.68635,-2.1
881849252220985600,0.5230146,4.32634,-2.1
3652267638208117504,0.6765095,5.15065,-2.1
3882761387474540672,0.5863334,4.6644,-2.1
3908174777685731968,0.7255642,5.4082,-2.1
646165842429919616,0.6363005,4.94367,-2.09
1286256707025987456,0.6425077,4.97256,-2.09
1578257617783832192,0.5421592,4.43879,-2.09
1663532647257282176,0.6300505,4.90827,-2.09
1678004556741218048,0.5425396,4.4407,-2.09
2552132037583250560,0.6873099,5.21497,-2.09
832882673676352512,0.5885865,4.69057,-2.08
1606776990903788928,0.516191,4.30507,-2.08
3362573983880111744,0.6726254,5.14451,-2.08
3722561851817970048,0.5774983,4.63348,-2.08
5757800347763435776,0.7542435,5.57748,-2.08
802810648404085632,0.5149459,4.30714,-2.07
1013227594521401984,0.6936562,5.26396,-2.07
1443871698864581504,0.6745893,5.1605,-2.07
3632110703852863616,0.6515542,5.03685,-2.07
3667828162987142912,0.5670575,4.58247,-2.07
3693498877573835520,0.6235304,4.88534,-2.07
3719687320401261312,0.5472396,4.47868,-2.07
3777972225631078400,0.711553,5.35583,-2.07
3833554806157884928,0.6053111,4.79084,-2.07
3920084172241132928,0.5617541,4.55745,-2.07
3953442289875737472,0.6717573,5.14646,-2.07
4428085718531642880,0.5817035,4.66477,-2.07
93538099874915968,0.6071876,4.80898,-2.06
1353204630008969728,0.6129749,4.84021,-2.06
1385222065012276224,0.5745696,4.63221,-2.06
