Name,AUID,Coords,Const,Type,Period,Mag
"14 Aql","000-BCF-061","19 02 54.50 -03 41 56.4","Aql","CST","--","5.40 - ? V"
"15 Aql","000-BCF-155","19 04 57.67 -04 01 53.1","Aql","CST","--","5.40 - ? V"
"1SWASP J164159.14+363818.5","--","16 41 59.15 +36 38 18.9","Her","CST","--","12.0 - ? V"
"21 Psc","000-BCS-015","23 49 27.48 +01 04 34.1","Psc","CST","--","5.77 - ? V"
"2MASS J11184638-5612409","--","11 18 46.38 -56 12 40.9","Cen","CST","--","13.62 - ? V"
"2MASS J17040535-3643343","000-BLD-225","17 04 05.35 -36 43 34.2","Sco","CST","--","16.2 - ? V"
"2MASS J18144821-1840219","--","18 14 48.21 -18 40 21.9","Sgr","CST:","--","16.1 - ? V"
"AA Cen","--","14 00 00.40 -47 13 37.6","Cen","CST","--","12.1 - ? V"
"AAVSO 0527-66","000-BCZ-215","05 27 54.61 -66 05 02.4","Dor","CST","--","14.67 - ? V"
"AC Cen","--","11 33 09.28 -57 41 45.8","Cen","CST","--","11.92 - ? V"
"AC Leo","000-BDS-804","10 00 14.72 +17 27 35.2","Leo","CST","--","9.47 - ? V"
"AD Col","000-BDM-157","06 05 24.67 -28 40 38.7","Col","CST","--","7.58 - ? V"
"AE Psc","000-BFC-676","01 31 44.48 +22 44 28.5","Psc","CST","--","8.24 - ? V"
"AF Pyx","000-BFD-257","08 40 17.61 -32 09 55.1","Pyx","CST","--","8.11 - ? V"
"AF Sgr","000-BFD-633","-- ","Sgr","--","--","--"
"AI Car","000-BDJ-153","07 48 22.27 -52 28 09.1","Car","CST","--","11.87 - ? V"
"AK Cyg","000-BDN-295","21 43 51.34 +51 13 06.6","Cyg","CST","--","11.05 - ? V"
"alf Lyr","000-BCC-827","18 36 56.34 +38 47 01.3","Lyr","CST","--","0.03 - ? V"
"ALS 181","--","07 08 13.08 -10 36 02.4","Mon","CST","--","11.64 - ? V"
"AO Lyn","000-BDT-488","06 17 38.03 +59 31 24.7","Lyn","CST","--","15.14 - ? V"
"ASAS J004535+0526.1","--","00 45 35.26 +05 26 07.7","Psc","CST","--","13.5 - ? V"
"ASAS J021914-0256.5","000-BFT-622","02 19 14.32 -02 56 29.4","Cet","CST","344","12.68 (1.15) V"
"ASAS J044037-5236.0","--","04 40 37.42 -52 36 01.1","Pic","CST","--","13.93 - ? V"
"ASAS J050907-7935.1","--","05 09 07.29 -79 35 05.5","Men","CST","--","13.95 - ? V"
"ASAS J061152+2815.8","--","06 11 52.05 +28 15 51.5","Aur","CST","--","12.59 - ? V"
"ASAS J114007-6111.1","--","11 40 06.88 -61 11 08.7","Cen","CST","--","7.32 - ? V"
"ASAS J114205-5948.5","--","11 42 04.23 -59 48 24.7","Cen","CST","--","12.45 - ? V"
"ASAS J114917-6342.3","--","11 49 17.37 -63 42 06.2","Cen","CST","--","11.96 - ? V"
"ASAS J120730-5725.3","--","12 07 29.40 -57 25 16.9","Cru","CST:","--","12.44 - ? V"
"ASAS J124202-6210.9","--","12 42 03.65 -62 10 55.2","Cru","CST","--","13.75 - ? V"
"ASAS J125418-6230.1","--","12 54 18.20 -62 30 11.4","Cru","CST","--","13.94 - ? V"
"ASAS J151508-6719.4","--","15 15 07.16 -67 19 20.6","TrA","CST","--","14.15 - ? V"
"ASAS J153911-0038.3","--","15 39 10.37 -00 38 20.3","Ser","CST","--","14.33 - ? V"
"ASAS J170314+2212.3","000-BHK-247","17 03 14.23 +22 12 15.6","Her","CST","--","10.04 - ? V"
"ASAS J170659-5909.0","--","17 06 59.81 -59 09 01.0","Ara","CST","--","13.92 - ? V"
"ASAS J174209-3155.8","--","17 42 09.05 -31 55 59.7","Sco","CST","--","14.20 - ? V"
"ASAS J174844-3456.9","--","17 48 44.61 -34 56 53.2","Sco","CST","--","8.88 - ? V"
"ASAS J174930-3355.4","--","17 49 30.50 -33 55 29.3","Sco","CST","--","13.9 - ? V"
"ASAS J174942-3411.5","--","17 49 41.46 -34 11 33.0","Sco","VAR","--","11.071 (1.620) Ic"
"ASAS J175000-2748.6","--","17 49 59.54 -27 48 38.7","Sgr","CST","--","9.47 - ? V"
"ASAS J175351-3423.5","--","17 53 52.12 -34 23 28.4","Sco","CST","--","--"
